db43e069:00000000:6d8aeafbd6d987fe   yfHead_JawSoft01_Shape
db43e069:00000000:ebf55b0545c7d2ae   yfHead_JawSoft02_Normals
db43e069:00000000:831a00ebe331a3a9   yfHead_JawSoft02_Shape
db43e069:00000000:1328507e135bd393   yfHead_JawSoft03_Normals
db43e069:00000000:0d157e4d402a7000   yfHead_JawSoft03_Shape
db43e069:00000000:1d7796a19b109414   yfHead_JawSoft04_Normals
db43e069:00000000:70d069f9bf408143   yfHead_JawSoft04_Shape
db43e069:00000000:49dafe1e88ec307b   yfHead_JawSoftMod01_Normals
db43e069:00000000:d06e0ce45950fef8   yfHead_JawSoftMod01_Shape
db43e069:00000000:aca8ccdc07b2ba38   yfHead_JawSoftMod02_Normals
db43e069:00000000:926ede3ccef1952f   yfHead_JawSoftMod02_Shape
db43e069:00000000:4f12c09ffc3f9e8d   yfHead_JawSoftMod03_Normals
db43e069:00000000:aee2c34846d88776   yfHead_JawSoftMod03_Shape
db43e069:00000000:357a979c40ec5121   yfHips_Narrow_Normals
db43e069:00000000:80f6e2c41e584ec2   yfHips_Narrow_Shape
db43e069:00000000:4ff0117e39d818e9   yfHips_Wide_Normals
db43e069:00000000:82009970b69fc83a   yfHips_Wide_Shape
db43e069:00000000:ea2f3114767ae2ad   yfLowerArm_Big_Normals
db43e069:00000000:83aed39aff707f96   yfLowerArm_Big_Shape
db43e069:00000000:bec4fb760c95f37a   yfLowerArm_Small_Normals
db43e069:00000000:b5373160e0c4b0ed   yfLowerArm_Small_Shape
db43e069:00000000:e2022839aaaedcfb   yfLowerLeg_Big_Normals
db43e069:00000000:c043341fe4145778   yfLowerLeg_Big_Shape
db43e069:00000000:13361cea47119994   yfLowerLeg_Small_Normals
db43e069:00000000:ab43d820289b8ac3   yfLowerLeg_Small_Shape
db43e069:00000000:1bd929f16ae484fe   yfNeck_BackContract_Normals
db43e069:00000000:a959d687c3385879   yfNeck_BackContract_Shape
db43e069:00000000:81a5bc1a24810dc4   yfNeck_BackExtend_Normals
db43e069:00000000:3b0c824eb5a9f373   yfNeck_BackExtend_Shape
db43e069:00000000:ad1b7ae83f4bfb36   yfNeck_Thick_Normals
db43e069:00000000:0e1e14db3d6812c1   yfNeck_Thick_Shape
db43e069:00000000:048ba98f3a87d224   yfNeck_Thin_Normals
db43e069:00000000:e0e7c4805f0301d3   yfNeck_Thin_Shape
db43e069:00000000:80180b7398cbf1ea   yfShoulders_Narrow_Normals
db43e069:00000000:1eb1e4dc2003801d   yfShoulders_Narrow_Shape
db43e069:00000000:750c6ee9a71a51aa   yfShoulders_Wide_Normals
db43e069:00000000:428000697ff79edd   yfShoulders_Wide_Shape
db43e069:00000000:207be2cb83464cb9   yfThighs_Big_Normals
db43e069:00000000:9bbf5de7cd2d9e4a   yfThighs_Big_Shape
db43e069:00000000:3e50e8ca88ac30d6   yfThighs_Small_Normals
db43e069:00000000:603ea5c8348f5261   yfThighs_Small_Shape
db43e069:00000000:6e66751643443e88   yfUpperArm_Big_Normals
db43e069:00000000:c42324cef8334fff   yfUpperArm_Big_Shape
db43e069:00000000:077da4280911e2df   yfUpperArm_Small_Normals
db43e069:00000000:337f75af39055de4   yfUpperArm_Small_Shape
db43e069:00000000:ec28a1f669ae240f   yfWaist_Narrow_Normals
db43e069:00000000:a97bc0f42e797494   yfWaist_Narrow_Shape
db43e069:00000000:f4b5f500ce51f40f   yfWaist_Wide_Normals
db43e069:00000000:b7bd4c9ef2c8c494   yfWaist_Wide_Shape
db43e069:00000000:2920a6bdac3f0c3b   ymBelly_Big_Normals
db43e069:00000000:576a531dff097eb8   ymBelly_Big_Shape
db43e069:00000000:e1e9b65fba680bd4   ymBelly_Small_Normals
db43e069:00000000:5c28715e20fec503   ymBelly_Small_Shape
db43e069:00000000:a930471700e6cafd   ymBody_Bony_Normals
db43e069:00000000:382600a5a20ecc66   ymBody_Bony_Shape
db43e069:00000000:f5e9f47785a06156   ymBody_Fit_Normals
db43e069:00000000:8c373912264c8ee1   ymBody_Fit_Shape
db43e069:00000000:c68649fd63c383d6   ymBody_Heavy_Normals
db43e069:00000000:c67d6472eee16d61   ymBody_Heavy_Shape
db43e069:00000000:d48ef65c28bed12b   ymBody_Lean_Normals
db43e069:00000000:fd8ae619a49af468   ymBody_Lean_Shape
db43e069:00000000:b4cf3557ef3b6094   ymBody_Pregnant_Normals
db43e069:00000000:1ff59b1f6b4ef9c3   ymBody_Pregnant_Shape
db43e069:00000000:16c2b589e9cbed0a   ymButt_Big_Normals
db43e069:00000000:6d551fb7242e4d3d   ymButt_Big_Shape
db43e069:00000000:9da331abbabff91d   ymButt_Small_Normals
db43e069:00000000:6ecfdcce55588286   ymButt_Small_Shape
db43e069:00000000:f33ca39a9ff4d9a6   ymChest_Contract_Normals
db43e069:00000000:f4156a6f51eb3f71   ymChest_Contract_Shape
db43e069:00000000:51453eebe9951276   ymChest_Deep_Normals
db43e069:00000000:c2958869fbb37901   ymChest_Deep_Shape
db43e069:00000000:c18139754f13991c   ymChest_Expand_Normals
db43e069:00000000:d22d2533d93c371b   ymChest_Expand_Shape
db43e069:00000000:bf33fff2bc9d5609   ymChest_In_Normals
db43e069:00000000:0f6c82ede5b5245a   ymChest_In_Shape
db43e069:00000000:93b644f12bf64eae   ymChest_Out_Normals
db43e069:00000000:8ed554f5be97bfa9   ymChest_Out_Shape
db43e069:00000000:cf7b3df33a88df6a   ymChest_Shallow_Normals
db43e069:00000000:f15aca927ae0319d   ymChest_Shallow_Shape
db43e069:00000000:a05d6c33e20934d1   ymFeet_Big_Normals
db43e069:00000000:e5c4a0db718bddf2   ymFeet_Big_Shape
db43e069:00000000:c34a8c9625ae5899   ymFeet_Long_Normals
db43e069:00000000:cbe85057a5c4ac2a   ymFeet_Long_Shape
db43e069:00000000:c351e7260b39e239   ymFeet_Short_Normals
db43e069:00000000:015fd90bee48b7ca   ymFeet_Short_Shape
db43e069:00000000:4dcf5bd685e094ee   ymFeet_Small_Normals
db43e069:00000000:822f94d429ad18e9   ymFeet_Small_Shape
db43e069:00000000:4220fa38f0fb9fa4   ymHead_JawDefined_Normals
db43e069:00000000:975bff90419b9353   ymHead_JawDefined_Shape
db43e069:00000000:55ff8480c9fcb111   ymHead_JawDefined01_Normals
db43e069:00000000:708eec1e9acb9232   ymHead_JawDefined01_Shape
db43e069:00000000:6f09216528cad46f   ymHead_JawNormal01_Normals
db43e069:00000000:fc850c6e3ffa43f4   ymHead_JawNormal01_Shape
db43e069:00000000:3a86631189c8f8ef   ymHead_JawSoft_Normals
db43e069:00000000:7583e8f4fbc45474   ymHead_JawSoft_Shape
db43e069:00000000:a4bba2f6d668ceda   ymHead_JawSoft01_Normals
db43e069:00000000:aed483a43f96224d   ymHead_JawSoft01_Shape
db43e069:00000000:10258e3bf5486111   ymHead_JawSoft02_Normals
db43e069:00000000:5e30b832205fc232   ymHead_JawSoft02_Shape
db43e069:00000000:e890d34e3a923afc   ymHead_JawSoft03_Normals
db43e069:00000000:375729e112b8f9fb   ymHead_JawSoft03_Shape
db43e069:00000000:5e92265c9d82599b   ymHead_JawSoft04_Normals
db43e069:00000000:eab955def8029718   ymHead_JawSoft04_Shape
db43e069:00000000:6a7c54d5eef5fa4e   ymHead_JawSoftMod01_Normals
db43e069:00000000:04e458d618980449   ymHead_JawSoftMod01_Shape
db43e069:00000000:7f00625cdf8da365   ymHead_JawSoftMod02_Normals
